linker_id,name,xyz_file,smiles
982,ch2_14_n_link__17_base__site1,ch2_14_n_link__17_base__site1.xyz,n1ncc2c(c1)c(ccc2)C[C@H]1C[C@@H]2CC[N@]1CC2
983,ch2_14_n_link__17_base__site2,ch2_14_n_link__17_base__site2.xyz,n1ncc2c(c1)cc(cc2)C[C@H]1C[C@@H]2CC[N@]1CC2
984,ch2_14_n_link__18_base__site1,ch2_14_n_link__18_base__site1.xyz,n1ncc2c(c1)c(ccc2)C[C@H]1C[N@@]2CC[C@H]1CC2
985,ch2_14_n_link__18_base__site2,ch2_14_n_link__18_base__site2.xyz,n1ncc2c(c1)cc(cc2)C[C@H]1C[N@@]2CC[C@H]1CC2
986,ch2_14_n_link__19_base__site1,ch2_14_n_link__19_base__site1.xyz,n1ncc2c(c1)c(ccc2)C[C@]12CC[N@](CC1)CC2
987,ch2_14_n_link__19_base__site2,ch2_14_n_link__19_base__site2.xyz,n1ncc2c(c1)cc(cc2)C[C@]12CC[N@](CC1)CC2
988,ch2_15_c_link__11_pyrazine__site4,ch2_15_c_link__11_pyrazine__site4.xyz,c1ncc(nc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
989,ch2_15_c_link__12_pyramidine_H1__site1,ch2_15_c_link__12_pyramidine_H1__site1.xyz,n1ccc(nc1)Cc1cccc2c1-c1ccccc1CC2
990,ch2_15_c_link__12_pyramidine_H1__site2,ch2_15_c_link__12_pyramidine_H1__site2.xyz,n1ccc(nc1)Cc1ccc2c(-c3ccccc3CC2)c1
991,ch2_15_c_link__12_pyramidine_H1__site3,ch2_15_c_link__12_pyramidine_H1__site3.xyz,n1ccc(nc1)Cc1cccc2-c3c(CCc12)cccc3
992,ch2_15_c_link__12_pyramidine_H1__site4,ch2_15_c_link__12_pyramidine_H1__site4.xyz,n1ccc(nc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
993,ch2_15_c_link__13_pyramidine__site1,ch2_15_c_link__13_pyramidine__site1.xyz,c1ncc(cn1)Cc1cccc2c1-c1ccccc1CC2
994,ch2_15_c_link__13_pyramidine__site2,ch2_15_c_link__13_pyramidine__site2.xyz,c1ncc(cn1)Cc1ccc2c(-c3ccccc3CC2)c1
995,ch2_15_c_link__13_pyramidine__site3,ch2_15_c_link__13_pyramidine__site3.xyz,c1ncc(cn1)Cc1cccc2-c3c(CCc12)cccc3
996,ch2_15_c_link__13_pyramidine__site4,ch2_15_c_link__13_pyramidine__site4.xyz,c1ncc(cn1)C[C@@H]1Cc2ccccc2-c2c1cccc2
